tariff_plan_code_from,arpu_segment,tariff_plan_code_to,n,ratio_mean,ratio_median,ratio_std,conditional_destination_share
tariff_1,LOW,tariff_10,14,2.044636728316387,3.0,1.5555760085627808,0.059574468085106386
tariff_1,LOW,tariff_11,2,1.2661970226340573,1.2661970226340573,2.451967685073768,0.00851063829787234
tariff_1,LOW,tariff_13,22,2.12133522401442,2.377115882490118,1.0300258774105708,0.09361702127659574
tariff_1,LOW,tariff_21,10,0.41937705059090574,-0.21966814620296765,1.655828303274162,0.0425531914893617
tariff_1,LOW,tariff_4,35,1.9842897277819325,3.0,1.580000502495597,0.14893617021276595
tariff_1,LOW,tariff_8,71,1.5487768447502956,3.0,1.6935027153160747,0.3021276595744681
tariff_1,LOW,tariff_9,81,1.99824465556878,3.0,1.476879382145532,0.3446808510638298
tariff_1,MID,tariff_10,26,0.8844752183621767,0.8370520447349055,1.2200944675759458,0.08253968253968254
tariff_1,MID,tariff_11,12,1.193371114031096,0.9092855714448898,1.5256833626372428,0.0380952380952381
tariff_1,MID,tariff_12,2,1.8147211636380423,1.8147211636380423,1.6762374055768812,0.006349206349206349
tariff_1,MID,tariff_13,67,0.3275846053182945,0.12620266034771066,0.7628408874818245,0.2126984126984127
tariff_1,MID,tariff_21,5,0.88187128127053,0.7151105414931112,1.8824659754783075,0.015873015873015872
tariff_1,MID,tariff_4,51,0.9970311136625141,0.6657704191746932,1.1960450674045846,0.1619047619047619
tariff_1,MID,tariff_8,125,0.7851274525206258,0.5175258421983961,1.2677871723272978,0.3968253968253968
tariff_1,MID,tariff_9,27,1.329361829815006,1.4987082609577382,1.1770312170966224,0.08571428571428572
tariff_1,HIGH,tariff_10,9,0.176656792896104,0.08082267783182595,0.5516307914953444,0.1267605633802817
tariff_1,HIGH,tariff_11,4,0.023996354399308473,0.18558782420004905,0.3517702117351268,0.056338028169014086
tariff_1,HIGH,tariff_12,2,0.40998918056931755,0.40998918056931755,0.08477432106816969,0.028169014084507043
