,ID_NUMBER,ARPU_current,ARPU_3m_avg,ARPU_trend,current_tariff,OUT_LOC_ONNET_MIN,OUT_LOC_OFFNET_MIN,OUT_LOC_OFFNET_UNPAID_MIN,OUT_LOC_OFFNET_PAID_MIN,OUT_INTER_MIN,OUT_LOC_LAND_MIN,OUT_LOCAL_ONNET_SMS_AMT,OUT_LOCAL_OFFNET_SMS_AMT,OUT_LOCAL_LAND_PAID_SMS_AMT,OUT_INTER_SMS_AMT,DATA_VOLUME,LTE_DATA_VOLUME,TOTAL_ROAM_CALL_AMT,TOTAL_ROAM_SMS_AMT,TOTAL_ROAM_GPRS_MB,COUNT_CONTACT,AVG_TRANSACT_CONTACT,SUM_TRANSACT_CONTACT,AVG_DURATION_CONTACT,COUNT_BASE_STATION,arpu_segment,data_segment,call_segment,predicted_arpu
count,23441.0,23413.0,23436.0,23436,23346,23331.0,23331.0,23331.0,23331.0,23331.0,23331.0,23331.0,23331.0,23331.0,23331.0,23331.0,23331.0,23331.0,23331.0,23331.0,22971.0,22971.0,22971.0,22971.0,23279.0,23436,23331,23441,23441.0
unique,,,,3,21,,,,,,,,,,,,,,,,,,,,,3,3,3,
top,,,,GROWING,tariff_8,,,,,,,,,,,,,,,,,,,,,HIGH,HEAVY,LOW,
freq,,,,15127,6904,,,,,,,,,,,,,,,,,,,,,13918,11735,10716,
mean,20009.512094193935,8565.020206936319,6412.993416481767,,,194.55964074978928,43.895811438286685,36.90745324532453,6.988358192962154,0.9813782092494964,0.9122626548369123,1.7156287057277155,0.5647421885045647,0.0016358778735016358,0.10702498821310702,5559.335330818796,12200.223455917023,0.034396296772534404,0.005007643621505008,1.0769565527981368,21.193055011391174,8.629218706910715,209.60442151698518,1084.889038662971,17.03792402308232,,,,6426.3932531149885
std,11010.404526998902,17583.09722354088,7399.258152263885,,,326.9641440393426,59.616640562405316,46.19776831194235,25.670548929258928,10.263062932313261,4.112155944928068,7.752742608975547,3.342494990915008,0.04373869748753,0.7360142951224508,9759.276992221809,18117.878584021342,0.5196927900415278,0.18516418757960076,25.828968321145105,9.719167920577148,6.648931333068951,194.1101745263062,1484.8613063429202,4.857506669581001,,,,3517.1493213079048
min,1002.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,0.0
25%,10440.0,3402.98,3012.41,,,11.974166666666667,3.08,2.026666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.99833333333333,0.0,0.0,0.0,0.0,12.666666666666666,4.32935606060606,64.0,351.36362433862433,15.333333333333334,,,,4259.967244721007
50%,19973.0,6728.36,5930.411666666667,,,74.60000000000001,23.0,20.206666666666667,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2029.07,3280.57,0.0,0.0,0.0,25.33333333333333,7.099999999999999,157.66666666666666,696.02,20.0,,,,6237.8867484220455
75%,29400.0,11999.29,8695.622500000001,,,246.00083333333333,63.79333333333333,56.85166666666667,3.943333333333334,0.0,0.46,1.0,0.3333333333333333,0.0,0.0,6497.0008333333335,19050.670833333334,0.0,0.0,0.0,30.0,11.21111111111111,298.6666666666667,1328.4867283950616,20.0,,,,8198.079680471066
max,39444.0,1417082.91,476043.62666666665,,,10968.563333333334,1071.215,623.75,776.365,445.125,367.0366666666667,336.6666666666667,226.0,4.666666666666667,36.0,425742.18,254689.99,35.0,23.0,1565.38,30.0,389.5,2422.0,84243.55555555555,20.0,,,,216619.82
