id,title,url,type,access_status,checked_on,relevance,limitations
M01,"Bandits with Knapsacks — Badanidiyuru; Kleinberg; Slivkins (FOCS 2013)",https://arxiv.org/abs/1305.2545,primary_author_preprint,abstract_verified,2026-09-23,"Обучение при нескольких бюджетах; ценность смеси действий","Не моделирует напрямую дедупликацию клиентов и лимит 10 кампаний"
M02,"Resourceful Contextual Bandits — Badanidiyuru; Langford; Slivkins (COLT 2014)",https://arxiv.org/abs/1402.6779,primary_author_preprint,abstract_verified,2026-09-23,"Контекстные решения с общими ограничениями ресурсов","У нас фильтры кампаний и агрегированный ответ вместо индивидуальных решений"
M03,"Best Arm Identification in Multi-Armed Bandits — Audibert; Bubeck; Munos (2010)",https://chercheurs.lille.inria.fr/~munos/papers/files/ABM10.pdf,primary_author_full_text,full_text_relevant_sections_verified,2026-09-23,"Successive Rejects; распределение фиксированного бюджета исследования","Выбор одной руки; теоремы не переносятся автоматически на портфель и 20 пилотов"
M04,"Almost Optimal Exploration in Multi-Armed Bandits — Karnin; Koren; Somekh (ICML 2013)",https://proceedings.mlr.press/v28/karnin13.html,primary_conference_paper,landing_and_pdf_algorithm_verified,2026-09-23,"Sequential Halving; широкое исследование с последовательным сужением","Бюджет единичных pulls отличается от лимита вызовов пакетных пилотов"
M05,"A Tutorial on Thompson Sampling — Russo et al. (2018; arXiv revision 2020)",https://arxiv.org/abs/1707.02038,primary_author_tutorial,abstract_verified,2026-09-23,"Posterior sampling; структурная информация между действиями","Обзор не доказывает оптимальность конкретной стратегии для данного кейса"
M06,"Simple Bayesian Algorithms for Best Arm Identification — Russo (COLT 2016)",https://proceedings.mlr.press/v49/russo16.html,primary_conference_paper,landing_and_extended_abstract_pdf_verified,2026-09-23,"Top-two probability sampling и Thompson Sampling для идентификации","Асимптотическая цель одной лучшей руки отличается от конечного портфеля"
M07,"The Knowledge-Gradient Policy for Correlated Normal Beliefs — Frazier; Powell; Dayanik (2009)",https://pubsonline.informs.org/doi/abs/10.1287/ijoc.1080.0314,primary_journal_paper,publisher_abstract_verified_full_text_not_reviewed,2026-09-23,"Ценность измерения через улучшение будущего решения; коррелированные beliefs","Проверена аннотация; экономическая адаптация с ресурсами является нашей гипотезой"
M08,"On the Prior Sensitivity of Thompson Sampling — Liu; Li (2015)",https://arxiv.org/abs/1506.03378,primary_author_preprint,abstract_verified,2026-09-23,"Влияние неверного prior на качество исследования","Частная теоретическая постановка; не задаёт готовой дисперсии prior для кейса"
M09,"The Perils of Misspecified Priors and Optional Stopping in Multi-Armed Bandits — Loecher (2021)",https://pmc.ncbi.nlm.nih.gov/articles/PMC8299077/,primary_journal_full_text,full_text_verified_after_initial_recaptcha,2026-09-23,"Ошибочный prior; преждевременная остановка; terminal versus cumulative regret","Bernoulli симуляции; численные результаты не эквивалентны непрерывному ARPU"
M10,"Hierarchical Bayesian Bandits — Hong et al. (AISTATS 2022)",https://proceedings.mlr.press/v151/hong22c.html,primary_conference_paper,abstract_verified,2026-09-23,"Обмен информацией между похожими задачами; HierTS","Похожесть тарифных ячеек требуется проверить; отрицательный перенос возможен"
M11,"Top Arm Identification in Multi-Armed Bandits with Batch Arm Pulls — Jun et al. (AISTATS 2016)",https://proceedings.mlr.press/v51/jun16.html,primary_conference_paper,landing_and_pdf_relevant_sections_verified,2026-09-23,"Раздельный учёт batch complexity и числа измерений","Пакет исходной модели может включать несколько рук; у нас один агрегат на кампанию"
M12,"Optimal Best Arm Identification with Fixed Confidence — Garivier; Kaufmann (COLT 2016)",https://proceedings.mlr.press/v49/garivier16a.html,primary_conference_paper,landing_and_pdf_stopping_rule_verified,2026-09-23,"Track-and-Stop; разделение распределения измерений и остановки","Fixed confidence не гарантируется при жёстко ограниченных 20 пилотах"
M13,"Time-uniform nonparametric nonasymptotic confidence sequences — Howard et al. (2021)",https://arxiv.org/abs/1810.08240,primary_author_preprint,abstract_verified,2026-09-23,"Корректность интервалов при повторных просмотрах и адаптивной остановке","Нужны условия конкретной границы; posterior credible interval не является такой гарантией"
M14,"Conjugate Bayesian analysis of the Gaussian distribution — Murphy (2007)",https://www.cs.ubc.ca/~murphyk/Papers/bayesGauss.pdf,primary_author_technical_note,full_text_sections_2_1_to_2_4_verified,2026-09-23,"Normal–Normal update; точность как обратная дисперсия; агрегированные средние","Корректность posterior условна на likelihood и prior; не устраняет domain shift"
M15,"Bayesian decision-making under misspecified priors with applications to meta-learning — Simchowitz et al. (NeurIPS 2021)",https://proceedings.neurips.cc/paper_files/paper/2021/hash/ddcbe25988981920c872c1787382f04d-Abstract.html,primary_conference_paper,abstract_verified,2026-09-23,"Чувствительность TS и Monte Carlo KG к несовпадению prior","Теоретические условия и расстояние между priors не измерены для нашего кейса"
