id,title,url,type,access_status,checked_on,relevance,limitations
R01,Uplift Modeling for Multiple Treatments with Cost Optimization — Zhao; Harinen (2019),https://arxiv.org/abs/1908.05372,primary_author_preprint,abstract_verified,2026-09-23,Несколько воздействий разной стоимости,Агрегированные20пилотов не равны индивидуальным experimental logs
R02,Response Transformation and Profit Decomposition for Revenue Uplift Modeling,https://arxiv.org/abs/1911.08729,primary_author_preprint,abstract_verified,2026-09-23,Прогноз денежного uplift вместо только конверсии,Не изучает scoring HackAlem; формулу соревнования не заменяет
R03,Doubly Robust Policy Evaluation and Learning — Dudik; Langford; Li (2011),https://arxiv.org/abs/1103.4601,primary_author_preprint,abstract_verified,2026-09-23,Offline evaluation с reward и propensity моделями,В истории кейса отсутствуют логи назначения маркетинговых действий
R04,EconML: Estimation Methods under Unconfoundedness,https://www.pywhy.org/EconML/spec/estimation.html,official_documentation,direct_read,2026-09-23,Предпосылки причинной идентификации,Наблюдаемость конфаундеров нельзя обеспечить установкой библиотеки
R05,Vowpal Wabbit: Contextual Bandits Python example,https://vowpalwabbit.org/docs/vowpal_wabbit/python/latest/examples/contextual_bandit.html,official_documentation,search_result_content_read,2026-09-23,Формат action cost probability,Не запускался на данных кейса; нужен адаптер агрегированных пилотов
R06,Vowpal Wabbit: Offline Policy Evaluation,https://vowpalwabbit.org/docs/vowpal_wabbit/python/latest/tutorials/off_policy_evaluation.html,official_documentation,direct_read,2026-09-23,Частичная наблюдаемость исходов; IPS и DR,Условия корректности OPE в кейсе не установлены
R07,Criteo AI Lab: Datasets,https://ailab.criteo.com/ressources/,primary_dataset_publisher,direct_read,2026-09-23,Первичный каталог uplift benchmark,Внешний набор не скачивался; другой домен
R08,Criteo official dataset card,https://huggingface.co/datasets/criteo/criteo-uplift,primary_dataset_publisher,search_result_content_read,2026-09-23,Рандомизированная основа и treatment-индикатор,Размеры зависят от версии; не источник эффектов Beeline
R09,scikit-uplift: MegaFon Uplift Competition Dataset,https://www.uplift-modeling.com/en/latest/api/datasets/fetch_megafon.html,official_documentation,direct_read,2026-09-23,Синтетический телеком uplift benchmark,Бинарная конверсия; не ARPU-цель HackAlem
R10,A churn prediction dataset from the telecom sector: a new benchmark for uplift modeling,https://arxiv.org/abs/2312.07206,primary_author_preprint,abstract_verified,2026-09-23,Различие churn prediction и treatment effect,Удержание не идентично выбору тарифной кампании
R11,Recommendations for Marketing Campaigns in Telecommunication Business based on the footprint analysis,https://arxiv.org/abs/1706.03944,primary_author_preprint,abstract_verified,2026-09-23,Телеком сегментация и комбинаторная оптимизация,Другая геодемографическая постановка
R12,Uber CausalML repository,https://github.com/uber/causalml,official_code_repository,readme_verified,2026-09-23,Multi-treatment learners и cost optimization,Библиотека не устанавливалась и не проверялась на кейсе
R13,EconML — Microsoft Research,https://www.microsoft.com/en-us/research/project/econml/,official_project_page,search_result_content_read,2026-09-23,Официальное описание библиотеки,Не устанавливалась и не проверялась на кейсе
R14,Vowpal Wabbit: Contextual Bandit Content Personalization,https://vowpalwabbit.org/tutorials/cb_simulation.html,official_documentation,search_result_content_read,2026-09-23,Пример симуляции и учета вероятности действия,Не готовая интеграция run_pilot
R15,SciPy optimize.milp,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.milp.html,official_documentation,direct_read,2026-09-23,Ограничения; бинарные переменные; time_limit; статус решения,Solver не устанавливался и не оценивался в этом исследовании
R16,Google OR-Tools: Packing,https://developers.google.com/optimization/pack,official_documentation,search_result_content_read,2026-09-23,Классы задач с ограниченными ресурсами,Пример библиотеки не точная постановка всего кейса
R17,Google OR-Tools: Multiple Knapsacks,https://developers.google.com/optimization/pack/multiple_knapsack,official_documentation,direct_read,2026-09-23,Практические модели выбора ограниченного набора,Пересечения и ID truncation требуют отдельного учета
R18,scikit-learn: Common pitfalls and recommended practices,https://scikit-learn.org/stable/common_pitfalls.html,official_documentation,direct_read,2026-09-23,Утечка данных и разделение обучения/проверки,Стандартный split не проверяет неизвестный сдвиг мира
